geometry,condition,trial,snr,qmax_fraction,missing_fraction,threshold_sigma,coverage_fraction,noise_sigma,correlation,iou,area_ratio,residual
ellipse,fully sampled,0,inf,1.0,0.0,0.0,1.0,0.0,0.9999999920245027,1.0,1.0,2.496861752434219e-06
ellipse,fully sampled,1,inf,1.0,0.0,0.0,1.0,0.0,0.9999999896037511,1.0,1.0,2.6407479863113348e-06
ellipse,fully sampled,2,inf,1.0,0.0,0.0,1.0,0.0,0.9999999999446869,1.0,1.0,2.2808492930684147e-08
ellipse,fully sampled,3,inf,1.0,0.0,0.0,1.0,0.0,0.999999999868631,1.0,1.0,6.898373292114571e-08
ellipse,fully sampled,4,inf,1.0,0.0,0.0,1.0,0.0,0.9999999999999849,1.0,1.0,1.2654640317165293e-09
ellipse,finite SNR raw,0,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6638694392835204,0.4794520547945205,0.7560975609756098,0.5915720862443987
ellipse,finite SNR raw,1,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6682416586035121,0.40441176470588236,0.5528455284552846,0.5832100842152685
ellipse,finite SNR raw,2,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6333743851807804,0.40939597315436244,0.7073170731707317,0.589213164976695
ellipse,finite SNR raw,3,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6777083319172392,0.5138888888888888,0.7723577235772358,0.5845918079863682
ellipse,finite SNR raw,4,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6695425565345716,0.4632352941176471,0.6178861788617886,0.5876229478758779
ellipse,finite SNR gated,0,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8930559386430459,0.6507936507936508,1.5365853658536586,0.48027300047523785
ellipse,finite SNR gated,1,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8974553305235624,0.6914285714285714,1.4065040650406504,0.4710246233510203
ellipse,finite SNR gated,2,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8972620826307459,0.6684782608695652,1.4959349593495934,0.4647987497916616
ellipse,finite SNR gated,3,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8941794876493149,0.6373056994818653,1.5691056910569106,0.46949037248373154
ellipse,finite SNR gated,4,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.9007283902067345,0.6910112359550562,1.4471544715447155,0.48884998097344096
ellipse,limited q range,0,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9896007196325405,1.0,1.0,0.00045599591676809986
ellipse,limited q range,1,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9975603656865311,1.0,1.0,0.00026553799962535595
ellipse,limited q range,2,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9780750564437811,1.0,1.0,0.0007088029451384768
ellipse,limited q range,3,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9355762354187276,0.9291338582677166,0.991869918699187,0.0017296315296777913
ellipse,limited q range,4,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.986400570341765,1.0,1.0,0.000464454728345436
ellipse,combined gated,0,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8729032072008677,0.6815642458100558,1.4471544715447155,0.33551487114861567
ellipse,combined gated,1,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8916367386099421,0.6777777777777778,1.4552845528455285,0.30014413967213516
ellipse,combined gated,2,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8836498305230533,0.6836158192090396,1.4227642276422765,0.3218340875103646
ellipse,combined gated,3,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8820136259088013,0.6931818181818182,1.4227642276422765,0.3537231153882485
ellipse,combined gated,4,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8790885465472851,0.6871508379888268,1.4552845528455285,0.3502423085115224
slit,fully sampled,0,inf,1.0,0.0,0.0,1.0,0.0,0.9999999998675417,1.0,1.0,5.174945904276468e-10
slit,fully sampled,1,inf,1.0,0.0,0.0,1.0,0.0,0.9999999999999988,1.0,1.0,3.440517367232055e-14
slit,fully sampled,2,inf,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.6067924087565255e-15
slit,fully sampled,3,inf,1.0,0.0,0.0,1.0,0.0,0.9999999999999992,1.0,1.0,2.6222691563822993e-15
slit,fully sampled,4,inf,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.6173066372570098e-15
slit,finite SNR raw,0,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.7018398536629381,0.5221238938053098,0.638095238095238,0.5689574625248743
slit,finite SNR raw,1,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.7272044439539207,0.5483870967741935,0.8285714285714286,0.5677703972635441
slit,finite SNR raw,2,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.7504530651311602,0.6097560975609756,0.8857142857142857,0.5734176010978557
slit,finite SNR raw,3,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.7088299794416543,0.5327868852459017,0.780952380952381,0.5705996661751908
slit,finite SNR raw,4,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6493300892476279,0.45864661654135336,0.8476190476190476,0.5646794268850118
slit,finite SNR gated,0,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8998131821254429,0.7222222222222222,1.361904761904762,0.4717255438289848
slit,finite SNR gated,1,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.907246413233232,0.695364238410596,1.438095238095238,0.5167509282775513
slit,finite SNR gated,2,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8871152083783842,0.6907894736842105,1.4476190476190476,0.4931260790385304
slit,finite SNR gated,3,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.9094418883138691,0.7142857142857143,1.4,0.4882794268962932
slit,finite SNR gated,4,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8851296788165847,0.673202614379085,1.438095238095238,0.4859945461643308
slit,limited q range,0,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9990267900030694,1.0,1.0,0.0002831554453572759
slit,limited q range,1,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9995770832872838,1.0,1.0,0.00034795727276359223
slit,limited q range,2,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9989902352502988,1.0,1.0,0.000257315381256756
slit,limited q range,3,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9987817847110002,1.0,1.0,0.0002961958852002689
slit,limited q range,4,inf,0.7,0.0,0.0,0.3841145833333333,0.0,0.9998216797160866,1.0,1.0,0.00011340285166752243
slit,combined gated,0,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8776454523217315,0.7222222222222222,1.361904761904762,0.3627719576084199
slit,combined gated,1,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8868187868661309,0.7878787878787878,1.2476190476190476,0.3726980244804909
slit,combined gated,2,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8868023454343661,0.7553956834532374,1.3238095238095238,0.35444272304743074
slit,combined gated,3,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.8929104909108773,0.7342657342657343,1.361904761904762,0.39955042811229646
slit,combined gated,4,30.0,0.7,0.25,2.0,0.2881944444444444,0.03333333333333333,0.9014913149093984,0.7819548872180451,1.2571428571428571,0.3305014489120629
connected,fully sampled,0,inf,1.0,0.0,0.0,1.0,0.0,0.9999999997562832,1.0,1.0,3.7813797593224593e-07
connected,fully sampled,1,inf,1.0,0.0,0.0,1.0,0.0,0.9999999978115239,1.0,1.0,3.3634975001226566e-06
connected,fully sampled,2,inf,1.0,0.0,0.0,1.0,0.0,0.9999999981917949,1.0,1.0,2.767440681232747e-06
connected,fully sampled,3,inf,1.0,0.0,0.0,1.0,0.0,0.9999999997910093,1.0,1.0,8.567442927301207e-07
connected,fully sampled,4,inf,1.0,0.0,0.0,1.0,0.0,0.9999999912977121,1.0,1.0,4.763110808151977e-06
connected,finite SNR raw,0,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.620002385369547,0.3588235294117647,0.5714285714285714,0.598115215392098
connected,finite SNR raw,1,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6394551250934267,0.4175824175824176,0.7551020408163265,0.6014823135271941
connected,finite SNR raw,2,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.640566906478629,0.4111111111111111,0.7278911564625851,0.5957276529926793
connected,finite SNR raw,3,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6275174623549863,0.43258426966292135,0.7346938775510204,0.5886801877750746
connected,finite SNR raw,4,30.0,1.0,0.0,0.0,1.0,0.03333333333333333,0.6353485297222556,0.42613636363636365,0.7074829931972789,0.582644960474333
connected,finite SNR gated,0,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8804296379003339,0.6475770925110133,1.5442176870748299,0.5307983269448546
connected,finite SNR gated,1,30.0,1.0,0.0,2.0,1.0,0.03333333333333333,0.8890607540810446,0.6547085201793722,1.510204081632653,0.5282630834624731
