rank,file,icsd_code,score,verdict,temperature_k,temperature_note,space_group,citation_year,method_hint,has_anisotropic_displacements,min_occupancy,mean_coordinate_uncertainty,cell_a,cell_b,cell_c,volume,n_o_distance_angstrom,o_n_o_angle_deg,citation_title,reasons
1,EntryWithCollCode82857.cif,82857,96.000,best target,295,assumed room-temperature entry from source.md,I m 2 m,1996,unspecified,True,1,6e-05,3.5653,5.5728,5.3846,106.99,1.25059,114.67,The refinement of the structure of ferroelectric sodium nitride,ferroelectric Im2m model; temperature close to target (assumed room-temperature entry from source.md); method not explicit in CIF title; high fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; modern refinement
2,EntryWithCollCode68707.cif,68707,85.000,strong comparison,120,_diffrn_ambient_temperature,I m 2 m,1990,electron_density,True,1,0.000103333,3.518,5.535,5.382,104.8,1.25472,114.615,Electron density distribution in crystals of sodium nitrite at 12O K,ferroelectric Im2m model; temperature comparison case (_diffrn_ambient_temperature); electron/deformation-density study; good fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; modern refinement
3,EntryWithCollCode280361.cif,280361,82.000,strong comparison,30,_diffrn_ambient_temperature,I m 2 m,2000,electron_density,True,1,3.66667e-05,3.5024,5.5209,5.3789,104.01,1.25543,114.647,"X-ray study of deformation density and spontaneous polarization in
ferroelectric Na N O2",ferroelectric Im2m model; temperature far from target (_diffrn_ambient_temperature); electron/deformation-density study; high fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; modern refinement
4,EntryWithCollCode174034.cif,174034,75.000,strong comparison,423,_diffrn_ambient_temperature,I m 2 m,1970,neutron,False,1,0.00133333,3.6,5.75,5.35,110.75,1.25238,112.82,Neutron diffraction study of Na N O2,ferroelectric Im2m model; temperature comparison case (_diffrn_ambient_temperature); neutron refinement/source; moderate fractional-coordinate precision; complete ordered Na/N/O occupancies; older but post-1960 source
5,EntryWithCollCode15400.cif,15400,73.000,diagnostic comparison,,not reported,I m 2 m,1961,neutron,False,1,0.000766667,3.56,5.563,5.384,106.63,1.24005,114.86,A neutron diffraction refinement of the low temperature phase of Na N O2,ferroelectric Im2m model; missing explicit temperature; neutron refinement/source; moderate fractional-coordinate precision; complete ordered Na/N/O occupancies; older but post-1960 source
6,EntryWithCollCode60765.cif,60765,72.000,diagnostic comparison,,not reported,I m 2 m,1985,unspecified,True,1,7.25e-05,3.66,5.65,5.365,110.94,1.23276,114.24,"Refinement of the incommensurate crystal structure of Na N O2 in
(3+1)-dimensional space groups",ferroelectric Im2m model; modulated/incommensurate entry is not a simple static cell; missing explicit temperature; method not explicit in CIF title; high fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; older but post-1960 source
7,EntryWithCollCode9265.cif,9265,71.000,diagnostic comparison,423,_diffrn_ambient_temperature,I m 2 m,1972,unspecified,True,1,0.00135,3.642,5.653,5.375,110.66,1.24223,115.167,"The structure of sodium nitrite at 150, 185, 225 C",ferroelectric Im2m model; temperature comparison case (_diffrn_ambient_temperature); method not explicit in CIF title; moderate fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; older but post-1960 source
8,EntryWithCollCode43485.cif,43485,68.000,diagnostic comparison,,not reported,I m 2 m,1962,neutron,False,1,,3.569,5.563,5.384,106.9,1.23975,114.903,X-ray and neutron study of the phase transformation of Na N O2,ferroelectric Im2m model; missing explicit temperature; neutron refinement/source; coordinate uncertainties not reported; complete ordered Na/N/O occupancies; older but post-1960 source
9,EntryWithCollCode200411.cif,200411,67.000,diagnostic comparison,,not reported,I m 2 m,1978,xray,True,1,0.0015,3.665,5.67,5.358,111.34,1.22724,117.677,X-ray structure determination of the modulated phase of Na N O2,ferroelectric Im2m model; modulated/incommensurate entry is not a simple static cell; missing explicit temperature; X-ray refinement/source; moderate fractional-coordinate precision; anisotropic displacement parameters present; complete ordered Na/N/O occupancies; older but post-1960 source
10,EntryWithCollCode4243.cif,4243,66.000,diagnostic comparison,435,_diffrn_ambient_temperature,I m 2 m,1975,unspecified,False,1,0.00136667,3.652,5.652,5.362,110.68,1.23701,113.563,The phase transition in sodium nitrite,ferroelectric Im2m model; temperature comparison case (_diffrn_ambient_temperature); method not explicit in CIF title; moderate fractional-coordinate precision; complete ordered Na/N/O occupancies; older but post-1960 source
